rank,company,city_state,buyer_type,buyer_fit_score,lab_grown_evidence,volume_potential,status_next_step
30,Global Jewellery Concepts,Australia,Jewellery concepts/wholesale,54,Trade directory verified,Medium,Ask for product and sourcing lead
31,Gerrim International,Australia,Jewellery supplier/wholesaler,53,Trade directory verified,Medium,Event-led qualification
32,Unison Jewellery,Australia,Jewellery supplier,52,Trade directory verified,Medium,Qualify diamond usage
33,Vina Jewellery,Australia,Jewellery supplier/manufacturer,51,Trade directory verified,Medium,Qualify B2B production
34,Jewelarc International,Australia,Jewellery supplier,50,Trade directory verified,Medium,Qualify diamond categories
35,World Shiner Pty Ltd,Melbourne VIC,Diamond wholesaler,50,Strong inference,Medium–High,Avoid duplicate if ranked at 12; retain legal-entity check
36,Temple & Grace workshop route,Sydney NSW,Production house,49,Verified manufacturing,Medium,Use only after corporate contact
37,Couture Kingdom,Australia,Jewellery wholesaler/brand,48,Trade directory verified,Medium,Qualify product and sourcing
38,Mark McAskill Jewellery,Australia,Designer/manufacturer,47,Trade directory verified,Low–Medium,"Nurture, custom stones only"
39,La Couronne Jewellery,Australia,Jewellery brand/supplier,46,Trade directory verified,Low–Medium,Nurture after qualification
40,Eugene’s Jewellery,Australia,Jewellery supplier,45,Trade directory verified,Low–Medium,Nurture; verify diamond usage
41,Salt and Pepper Diamonds,Australia,Diamond company,45,AJF directory verified,Medium,Qualify product and sourcing
42,Gen Z Diamonds,Australia,Diamond company,44,IJF/AJF directory verified,Medium,Strong name fit; verify scale
43,Ellendale Diamonds Australia,Perth WA,Trade supplier,44,Verified trade route,Medium,Duplicate entity check before CRM import
44,Autore Pearls,Sydney / national,Jewellery brand,43,Trade participation; diamond fit unconfirmed,Medium,Do not prioritise before product proof
45,Independent Jewellers Collective,Australia,Retail network,42,Trade participation,"High network reach, uncertain direct buying","Partnership route, not direct stone buyer"
46,Showcase Jewellers,Australia,Retail network,41,Trade participation,"High network reach, central buying uncertain",Approach network office only after qualification
47,Nationwide Jewellers,Australia,Retail network,40,Trade participation,"High network reach, central buying uncertain","Channel discovery, not first-wave buyer"
48,Paterson Fine Jewellery,Australia,Fine jewellery supplier,39,AJF exhibitor,Low–Medium,Nurture; verify production
49,Cultured Jewellery Designs,Australia,Jewellery designer/supplier,38,AJF exhibitor,Low–Medium,Nurture; name suggests category relevance but is not evidence
50,Eastern Pearl,Australia,Jewellery supplier,37,Trade directory verified,Low–Medium,Do not prioritise until diamond use is verified
